               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032657,            0.018686,            0.046338,             0.57234,             0.18305,             0.18541,             0.14028,            0.039183,            0.020857,            0.066483,            0.002872,            0.002872,            0.002872
                  38,            0.033355,            0.019736,            0.047452,             0.56993,              0.1692,             0.18311,             0.13012,            0.039299,              0.0206,            0.066776,            0.002674,            0.002674,            0.002674
                  39,            0.032222,             0.01901,            0.046003,             0.49438,             0.21534,             0.19612,             0.13987,            0.039326,            0.020475,            0.066561,            0.002476,            0.002476,            0.002476
                  40,            0.032853,            0.019091,            0.043597,             0.54728,             0.17712,             0.18107,             0.13523,            0.038884,            0.020582,             0.06535,            0.002278,            0.002278,            0.002278
                  41,            0.031869,            0.019503,            0.043763,             0.55193,             0.18991,             0.20565,             0.15687,            0.038761,            0.020933,            0.065678,             0.00208,             0.00208,             0.00208
                  42,            0.031122,            0.018368,            0.043077,             0.48772,             0.22831,             0.21286,             0.15758,            0.038867,            0.020992,             0.06514,            0.001882,            0.001882,            0.001882
                  43,            0.031572,            0.019218,            0.042723,              0.6219,             0.18019,             0.20889,             0.15666,            0.038546,            0.020653,            0.065781,            0.001684,            0.001684,            0.001684
                  44,            0.030421,            0.018033,             0.04078,             0.54437,             0.19035,             0.18629,             0.14396,             0.03814,            0.020676,            0.066621,            0.001486,            0.001486,            0.001486
                  45,            0.029489,            0.017308,            0.040334,             0.52843,              0.1866,              0.1953,             0.14751,            0.038209,            0.020576,            0.066424,            0.001288,            0.001288,            0.001288
                  46,            0.029724,            0.017332,            0.039159,             0.44722,             0.21161,             0.18853,             0.14073,            0.038181,            0.020651,            0.067044,             0.00109,             0.00109,             0.00109
                  47,             0.02883,            0.018119,            0.040325,             0.47395,             0.25116,             0.18091,             0.13744,            0.038004,            0.020299,            0.066094,            0.000892,            0.000892,            0.000892
                  48,            0.029525,            0.017878,            0.038894,             0.53491,              0.2073,             0.19014,             0.14453,              0.0378,             0.02049,            0.067115,            0.000694,            0.000694,            0.000694
                  49,            0.028293,            0.017068,            0.039956,             0.54562,             0.21119,             0.19322,             0.14971,            0.037365,            0.020409,            0.065666,            0.000496,            0.000496,            0.000496
